Age,Salary,Education_Level,Years_of_Experience,Department,Location
49,94785,Master,33,HR,Austin
27,59518,Master,22,HR,New York
27,78909,Master,23,HR,Los Angeles
36,43351,Bachelor,12,Marketing,Chicago
63,94624,Bachelor,17,Marketing,Chicago
51,78330,PhD,12,Sales,Chicago
50,40282,PhD,36,Engineering,New York
40,109866,Master,38,HR,New York
45,46778,Master,16,HR,New York
49,49264,Bachelor,14,HR,New York
67,84675,PhD,17,HR,Austin
24,30075,Master,22,Marketing,San Francisco
46,100948,PhD,29,Sales,Austin
25,73454,PhD,33,Finance,Chicago
18,53365,Master,3,Engineering,Austin
20,97766,Bachelor,2,HR,Los Angeles
41,73200,Master,6,Sales,New York
40,36002,Master,17,Finance,Los Angeles
25,38947,PhD,6,Sales,Los Angeles
64,104222,Master,39,Marketing,Chicago
54,119840,Bachelor,5,Finance,New York
20,103610,Master,21,Sales,Los Angeles
68,77142,Bachelor,0,Marketing,Chicago
50,81307,Bachelor,3,Sales,New York
45,29493,PhD,28,Sales,San Francisco
64,75085,High School,20,Finance,Chicago
25,59228,High School,25,Marketing,Austin
51,104676,PhD,13,HR,New York
52,76875,Master,8,Engineering,Los Angeles
49,56655,PhD,11,Finance,Los Angeles
41,68472,Bachelor,5,Marketing,Austin
31,74437,High School,19,Sales,Austin
49,74416,PhD,23,Marketing,Los Angeles
63,84711,Master,26,Engineering,New York
60,31816,PhD,37,Engineering,Chicago
33,102175,High School,7,HR,Austin
21,89307,PhD,0,HR,Austin
69,71733,PhD,23,Engineering,Austin
54,36240,High School,6,Finance,San Francisco
38,117493,Bachelor,18,Finance,New York
31,96363,Bachelor,21,Sales,New York
48,57762,High School,34,HR,New York
65,33259,PhD,29,Sales,New York
35,75139,High School,28,HR,New York
24,39849,Bachelor,21,Engineering,Los Angeles
27,106768,Master,10,Finance,Austin
24,114709,PhD,19,Finance,Los Angeles
50,79869,Bachelor,28,Engineering,San Francisco
40,88095,PhD,33,Sales,Chicago
38,95910,High School,0,Sales,Austin
36,111710,Master,30,Marketing,San Francisco
65,48567,High School,29,HR,Los Angeles
36,60292,Master,17,Sales,Chicago
53,99813,PhD,16,Engineering,San Francisco
46,76631,PhD,37,Sales,Chicago
35,34885,High School,13,Finance,San Francisco
19,84659,Master,22,HR,Los Angeles
18,79306,Master,24,Marketing,Chicago
64,91314,PhD,14,HR,San Francisco
22,90087,High School,21,Finance,Los Angeles
37,54165,Master,2,Finance,Austin
28,83929,PhD,18,Finance,Los Angeles
59,92028,Bachelor,33,Finance,Los Angeles
19,74812,High School,34,Engineering,Austin
20,75500,Bachelor,0,Marketing,Los Angeles
40,104151,High School,20,Finance,Austin
29,83643,PhD,28,Finance,Austin
37,69900,Master,5,Sales,Austin
22,67946,Master,36,Marketing,San Francisco
54,32851,Master,0,HR,Chicago
55,41288,High School,0,Marketing,San Francisco
47,97692,PhD,26,Marketing,Austin
26,92580,Bachelor,20,Marketing,Chicago
51,32368,PhD,15,Finance,Chicago
61,110436,Bachelor,39,Finance,Austin
52,71403,High School,25,Engineering,Chicago
69,116170,High School,15,HR,Chicago
39,34168,Bachelor,27,Sales,San Francisco
61,111497,Bachelor,0,Marketing,Chicago
41,74879,Bachelor,35,HR,Austin
34,84871,PhD,9,HR,New York
27,114388,Bachelor,16,Engineering,New York
47,57174,High School,22,Sales,New York
63,117491,High School,6,Marketing,Austin
40,31581,Master,6,Sales,New York
49,96853,Bachelor,14,Engineering,San Francisco
34,89046,PhD,33,Finance,Austin
67,74678,PhD,3,HR,Austin
68,51649,PhD,13,Marketing,Austin
34,113668,Master,13,Finance,Chicago
31,107325,High School,15,Engineering,Chicago
26,39567,PhD,6,Sales,Chicago
57,105404,High School,31,HR,Los Angeles
19,114906,Master,18,Marketing,San Francisco
62,86944,Bachelor,1,Finance,Austin
42,103002,Bachelor,9,Finance,Austin
56,53803,Bachelor,16,HR,Chicago
26,43230,PhD,36,Sales,Austin
39,42862,Bachelor,11,Engineering,Austin
60,68355,PhD,5,Sales,New York
63,56259,Master,21,Sales,Austin
21,112445,Master,31,Sales,Los Angeles
43,55795,PhD,19,HR,Chicago
46,33770,High School,0,HR,San Francisco
62,36093,Bachelor,5,Engineering,San Francisco
51,71571,Bachelor,18,Sales,New York
40,25193,Bachelor,17,HR,San Francisco
54,42569,PhD,5,Engineering,San Francisco
28,36190,Master,32,Engineering,Chicago
23,87824,Bachelor,22,Sales,Chicago
35,67752,Master,22,Marketing,Los Angeles
38,57327,Bachelor,25,Sales,New York
59,67070,Bachelor,12,Marketing,San Francisco
53,110925,PhD,6,Engineering,Los Angeles
58,65197,High School,14,HR,New York
55,27261,PhD,26,Finance,San Francisco
51,118905,Bachelor,25,Engineering,San Francisco
34,51512,Bachelor,32,HR,Chicago
54,31716,High School,14,Engineering,Austin
42,111795,Master,35,Sales,New York
55,53933,Master,26,Marketing,San Francisco
29,29378,Bachelor,4,Engineering,New York
40,65583,Master,1,HR,Los Angeles
59,110371,Bachelor,32,Sales,Los Angeles
39,54033,High School,15,Finance,Austin
38,49000,High School,22,Sales,San Francisco
44,100868,Bachelor,37,Marketing,Chicago
48,67604,High School,15,Sales,San Francisco
23,93336,PhD,13,Finance,New York
44,98869,PhD,28,HR,Los Angeles
57,30410,High School,25,Engineering,New York
51,108375,Bachelor,34,Marketing,Austin
29,81044,Bachelor,14,Finance,Los Angeles
62,88315,High School,2,Marketing,Chicago
24,96344,Master,22,Sales,Los Angeles
27,31796,PhD,28,Marketing,San Francisco
62,111716,Master,33,Finance,San Francisco
34,79245,Bachelor,32,Engineering,Los Angeles
43,68056,Bachelor,22,Engineering,Austin
38,42709,Master,6,Marketing,San Francisco
45,83557,High School,2,HR,San Francisco
63,42543,Master,31,Marketing,Chicago
19,62418,Master,30,Sales,Los Angeles
60,119611,PhD,17,Engineering,San Francisco
18,41724,PhD,6,Engineering,Austin
68,28828,Master,0,Engineering,New York
53,42087,Master,13,HR,Los Angeles
68,37605,Bachelor,31,HR,Chicago
43,56337,PhD,5,Finance,San Francisco
46,30482,PhD,38,Marketing,Austin
38,90333,Bachelor,9,Marketing,Los Angeles
28,117541,High School,6,Sales,Austin
57,113296,PhD,25,Engineering,Austin
28,75952,PhD,33,HR,Chicago
53,30463,High School,29,Sales,Los Angeles
66,95448,PhD,35,Sales,San Francisco
56,29648,PhD,20,HR,Chicago
57,58623,High School,16,Marketing,San Francisco
52,84156,High School,32,Engineering,New York
51,60634,Master,9,Marketing,Austin
64,69602,Bachelor,11,Sales,New York
41,74334,Bachelor,15,Engineering,Austin
39,93648,High School,31,Finance,Chicago
22,47054,High School,14,Sales,San Francisco
50,95028,PhD,26,Marketing,San Francisco
53,47207,Master,27,Marketing,Chicago
64,105650,Master,16,Marketing,Los Angeles
37,106554,High School,1,HR,New York
36,46386,PhD,35,Sales,New York
52,108276,PhD,6,Engineering,San Francisco
69,84518,Bachelor,12,Marketing,San Francisco
60,77781,Bachelor,14,Marketing,San Francisco
34,77780,PhD,24,HR,Chicago
62,86440,Bachelor,22,Engineering,Los Angeles
60,69199,High School,21,Sales,New York
51,86035,PhD,25,Finance,Austin
26,33210,Bachelor,32,HR,Chicago
43,69363,Master,10,Sales,New York
19,103279,PhD,9,Finance,Los Angeles
26,85348,PhD,24,Marketing,Chicago
26,80284,Master,36,Marketing,New York
57,97124,High School,37,Engineering,Chicago
34,93847,Master,23,Finance,New York
18,47432,PhD,39,Marketing,New York
42,89089,High School,32,Marketing,Los Angeles
60,80398,Bachelor,16,Engineering,Austin
57,28321,Bachelor,23,Sales,Los Angeles
59,106348,Bachelor,36,Marketing,New York
42,62383,PhD,1,HR,Chicago
56,103682,Master,31,HR,Los Angeles
52,104190,High School,23,Sales,Austin
20,77893,Bachelor,8,Finance,New York
67,60820,High School,3,Engineering,Los Angeles
54,91262,PhD,16,HR,Los Angeles
61,28760,Bachelor,16,HR,Los Angeles
61,47190,PhD,29,Sales,Los Angeles
68,92411,Master,39,Finance,Chicago
47,48377,PhD,10,Finance,Austin
55,71737,PhD,20,Sales,Austin
51,94569,Master,20,HR,New York
29,63211,High School,17,Engineering,San Francisco
36,107909,Master,28,HR,Chicago
54,28744,Master,23,Finance,New York
61,49995,PhD,9,HR,New York
66,41977,High School,16,Engineering,Los Angeles
34,59542,Bachelor,17,Marketing,San Francisco
27,35651,Master,19,HR,San Francisco
66,103931,High School,36,Sales,Chicago
64,41715,Master,17,Marketing,San Francisco
29,69409,Master,16,Sales,New York
33,49306,Master,8,Sales,San Francisco
41,44086,Master,13,Sales,San Francisco
36,39376,PhD,28,HR,Austin
25,86350,High School,30,Finance,New York
48,96425,High School,3,Marketing,San Francisco
38,61636,High School,17,Engineering,San Francisco
34,111120,Master,19,Finance,Los Angeles
40,76649,PhD,8,HR,San Francisco
54,59610,Master,12,Sales,San Francisco
33,35058,Master,14,Engineering,Austin
23,99637,High School,26,Marketing,New York
25,103033,Master,14,Finance,Chicago
42,95194,Bachelor,27,Finance,New York
35,101917,Master,36,Engineering,Los Angeles
42,89200,Bachelor,18,HR,New York
29,71619,Master,25,Marketing,San Francisco
32,42154,PhD,25,Engineering,Los Angeles
43,44539,PhD,24,Sales,New York
58,85058,High School,25,Marketing,Los Angeles
62,87068,Master,25,Finance,Chicago
43,102313,Bachelor,27,Engineering,New York
64,55373,Bachelor,17,Finance,San Francisco
49,58154,Master,31,Finance,Los Angeles
27,31031,Bachelor,2,Finance,Austin
33,118533,PhD,1,HR,Los Angeles
24,96975,Bachelor,32,Finance,Austin
34,47785,High School,18,Sales,San Francisco
40,103928,PhD,16,Sales,Chicago
43,53669,PhD,32,Marketing,Austin
38,119475,PhD,11,Finance,Chicago
39,27282,Master,2,Finance,Los Angeles
24,59624,Master,25,Engineering,San Francisco
31,73438,PhD,34,HR,Austin
32,114900,Master,7,Marketing,Los Angeles
24,92534,Bachelor,35,Finance,New York
26,56705,Master,6,Engineering,Los Angeles
68,63244,Master,35,HR,Chicago
65,99964,PhD,15,Marketing,San Francisco
25,62437,High School,23,Marketing,San Francisco
67,102872,High School,0,Finance,Los Angeles
40,99878,High School,24,Marketing,New York
46,97982,Bachelor,9,Engineering,Chicago
35,75583,Master,15,Marketing,Los Angeles
48,63392,High School,15,Sales,Los Angeles
47,32461,PhD,7,Engineering,San Francisco
69,35516,High School,28,HR,Chicago
56,104285,High School,38,HR,New York
52,42514,Master,27,Finance,San Francisco
35,61268,Master,5,Finance,Los Angeles
59,115486,Master,15,Sales,San Francisco
56,61788,Bachelor,19,HR,San Francisco
34,100749,Bachelor,15,HR,Austin
31,86049,High School,6,HR,San Francisco
48,87493,Master,13,HR,San Francisco
41,61027,High School,25,Marketing,Chicago
52,118547,PhD,25,Engineering,San Francisco
61,67849,PhD,13,Engineering,New York
62,42858,Master,6,Sales,Los Angeles
51,109162,Master,32,Marketing,Chicago
20,104003,PhD,25,HR,San Francisco
54,77395,Master,19,HR,New York
60,64758,Bachelor,2,Finance,Los Angeles
57,79312,Bachelor,3,Finance,Chicago
43,93670,Master,25,Sales,New York
40,107279,PhD,10,HR,San Francisco
61,40434,High School,1,Sales,Austin
56,89047,Master,13,Marketing,Austin
32,72775,Master,29,Engineering,Chicago
66,100769,High School,11,HR,New York
21,91677,Master,25,Marketing,Los Angeles
46,108555,High School,32,HR,New York
39,110920,PhD,12,Finance,Austin
42,70734,Bachelor,13,Sales,Chicago
30,113503,PhD,23,Finance,San Francisco
35,65603,Bachelor,33,Engineering,New York
50,101708,High School,25,Finance,Austin
33,106926,Bachelor,20,HR,Los Angeles
62,93803,PhD,27,Finance,Chicago
59,64332,Bachelor,35,HR,San Francisco
61,116703,High School,39,Engineering,New York
19,46312,Bachelor,1,Finance,Los Angeles
52,118376,Master,8,Sales,San Francisco
59,109526,PhD,22,Sales,Austin
51,69179,Master,14,Sales,Austin
47,96442,High School,12,Finance,Los Angeles
30,65379,Bachelor,22,Finance,Austin
30,42297,Master,16,Finance,Chicago
35,27011,Master,1,HR,Los Angeles
49,69014,Bachelor,19,Engineering,Austin
49,36738,Bachelor,19,Sales,New York
52,119333,PhD,2,HR,Austin
56,72498,Master,11,Sales,Chicago
63,36120,Master,39,HR,San Francisco
69,33767,High School,1,Finance,San Francisco
46,47852,PhD,35,Sales,Austin
66,104239,High School,13,Finance,San Francisco
46,25929,Master,15,Sales,Austin
61,102487,High School,18,Marketing,Chicago
33,116575,Master,33,HR,San Francisco
61,42438,Master,5,Marketing,New York
64,73515,High School,12,HR,Austin
27,30744,High School,35,Engineering,San Francisco
47,108820,Bachelor,21,Sales,Chicago
42,67417,Bachelor,17,Engineering,Chicago
56,32069,Bachelor,11,Engineering,New York
37,67359,Master,29,HR,Chicago
22,44799,High School,39,Marketing,Chicago
18,118762,PhD,6,Finance,San Francisco
47,95188,Master,31,HR,Austin
66,114859,PhD,18,Finance,Los Angeles
20,32597,High School,5,Engineering,Chicago
62,72093,Master,19,Finance,Chicago
31,62226,PhD,26,Marketing,Los Angeles
47,97127,PhD,36,HR,Chicago
67,116369,Bachelor,6,Marketing,San Francisco
21,102362,Bachelor,4,Marketing,San Francisco
35,51417,Bachelor,10,HR,Los Angeles
54,43693,Master,14,Marketing,Chicago
42,104674,High School,2,Sales,Chicago
65,78161,High School,4,Sales,Austin
18,27169,Bachelor,22,Sales,Chicago
63,109092,Bachelor,36,Finance,San Francisco
32,47052,Bachelor,8,Marketing,New York
26,96849,PhD,14,HR,New York
32,98851,Bachelor,2,HR,New York
66,33036,PhD,28,Finance,New York
41,56778,High School,5,HR,Chicago
21,52734,Master,16,Sales,Chicago
29,48173,Master,25,Marketing,Austin
54,55403,Master,20,HR,Chicago
54,91321,Master,7,HR,New York
60,96675,PhD,20,Engineering,Los Angeles
23,31344,PhD,10,Engineering,Los Angeles
56,43800,Bachelor,37,Engineering,San Francisco
63,50372,PhD,7,Marketing,San Francisco
41,86516,Bachelor,23,Sales,Chicago
28,45538,Bachelor,34,Sales,Los Angeles
30,88918,Master,13,Sales,New York
51,39973,PhD,13,Marketing,New York
42,96155,PhD,9,Marketing,New York
24,84500,Bachelor,11,Engineering,Chicago
69,61575,Bachelor,37,HR,Chicago
21,67261,High School,33,Finance,Austin
25,52716,High School,9,Finance,New York
37,28236,Bachelor,16,HR,New York
46,40848,High School,16,Engineering,Chicago
68,27352,High School,2,HR,Chicago
62,26932,Bachelor,30,HR,Austin
63,101449,Bachelor,0,Finance,Austin
27,33556,PhD,11,Engineering,San Francisco
60,111836,Bachelor,38,Marketing,Los Angeles
51,30498,Bachelor,3,Finance,New York
43,101118,Master,12,Marketing,New York
58,75098,PhD,33,Engineering,Austin
66,89386,PhD,20,HR,Austin
20,34569,PhD,21,Sales,San Francisco
23,81882,Master,3,Sales,Los Angeles
22,95393,Bachelor,17,Engineering,San Francisco
22,25340,PhD,4,Sales,Los Angeles
64,68949,PhD,18,Marketing,New York
40,107302,High School,1,Sales,San Francisco
66,87443,PhD,11,Engineering,Austin
26,116668,Bachelor,16,Engineering,San Francisco
52,99027,Bachelor,9,Marketing,San Francisco
37,25138,High School,33,Sales,New York
66,25358,PhD,5,Sales,Austin
59,100250,PhD,7,HR,Austin
52,110376,PhD,10,Finance,Chicago
67,55654,Master,11,Engineering,Chicago
35,50879,PhD,8,HR,Chicago
34,106532,Bachelor,1,Engineering,New York
41,80778,Bachelor,7,HR,San Francisco
20,62772,Master,10,Finance,Austin
49,83478,Master,35,HR,Austin
52,89353,PhD,9,Engineering,San Francisco
55,51762,High School,20,Sales,Austin
30,38283,Master,19,Engineering,San Francisco
64,88922,Master,7,Marketing,New York
42,64420,PhD,35,Marketing,New York
26,80568,PhD,28,Marketing,New York
21,110090,Master,11,Marketing,San Francisco
31,45219,High School,13,Finance,San Francisco
54,82169,Master,20,Sales,Los Angeles
51,99965,PhD,21,Sales,Austin
28,71840,PhD,20,Engineering,Austin
58,69695,Master,29,HR,Los Angeles
20,109754,High School,38,Engineering,Los Angeles
45,102988,Master,19,Engineering,New York
46,83342,Master,23,Engineering,Los Angeles
26,43951,PhD,22,Engineering,San Francisco
20,26307,High School,6,Sales,Chicago
42,105388,Bachelor,8,HR,San Francisco
51,115768,High School,0,Engineering,Los Angeles
29,60428,Master,25,Sales,Austin
59,117021,Master,37,Engineering,San Francisco
26,100774,Master,37,Marketing,Austin
32,63975,High School,21,Engineering,San Francisco
57,26140,PhD,9,Engineering,Austin
42,49842,Master,5,Finance,San Francisco
22,51421,Master,16,Marketing,Austin
28,26708,High School,37,HR,Chicago
51,28630,Bachelor,23,Engineering,New York
41,44595,Bachelor,9,HR,San Francisco
32,101021,PhD,7,Marketing,Chicago
55,53308,PhD,20,Engineering,New York
25,69789,Master,5,Finance,San Francisco
22,80690,High School,20,Sales,Chicago
65,51086,Master,38,Finance,Chicago
43,41859,PhD,23,Finance,Chicago
35,32684,High School,32,Sales,Los Angeles
23,116088,High School,17,Sales,Austin
54,26207,PhD,27,Sales,New York
65,71099,Bachelor,31,Engineering,Austin
30,92496,Bachelor,11,HR,Austin
45,91093,High School,26,HR,Austin
22,54689,Master,9,Sales,Chicago
30,73651,Bachelor,31,Finance,Austin
34,38893,Master,25,Marketing,Los Angeles
67,91418,Bachelor,24,Sales,San Francisco
57,85011,Bachelor,10,Finance,Chicago
62,63635,Master,22,Finance,New York
49,81115,PhD,33,Engineering,San Francisco
46,103405,Bachelor,39,Engineering,San Francisco
68,97702,Bachelor,22,HR,San Francisco
20,103518,Master,28,HR,Austin
57,97805,PhD,30,Marketing,Austin
51,83954,Bachelor,6,Marketing,Chicago
57,53064,Bachelor,39,Marketing,Austin
44,104063,PhD,32,Marketing,Austin
30,27454,Bachelor,20,Finance,Austin
62,45878,PhD,1,Finance,Chicago
50,76098,PhD,17,HR,Chicago
23,87154,Master,32,Engineering,Los Angeles
41,37991,High School,36,Engineering,Los Angeles
36,93344,PhD,33,Sales,Los Angeles
33,61593,Master,19,Finance,Los Angeles
57,61304,High School,34,Marketing,San Francisco
45,55386,Bachelor,17,Marketing,San Francisco
50,80220,High School,23,Sales,Los Angeles
65,94338,PhD,7,Engineering,Los Angeles
58,119289,PhD,29,Marketing,New York
30,46083,PhD,9,Engineering,San Francisco
60,43354,PhD,22,Sales,New York
62,47190,PhD,10,Engineering,New York
42,31142,Master,1,Engineering,Austin
59,53398,PhD,25,Engineering,Chicago
53,76971,Master,35,Marketing,San Francisco
44,66862,Bachelor,32,HR,Los Angeles
55,78410,PhD,12,Finance,Los Angeles
24,44503,PhD,39,Engineering,Chicago
22,73456,High School,24,Engineering,San Francisco
60,107035,Bachelor,3,Engineering,Los Angeles
62,33016,PhD,18,HR,Los Angeles
68,27384,PhD,17,Sales,Austin
48,87320,Bachelor,36,Marketing,New York
40,40072,Master,29,HR,Los Angeles
59,105018,PhD,18,Engineering,San Francisco
27,65510,High School,22,HR,Chicago
49,73933,PhD,15,HR,Austin
60,46826,High School,0,HR,San Francisco
47,93026,High School,11,Sales,Austin
56,50518,PhD,23,Finance,New York
48,49045,PhD,33,Marketing,Los Angeles
35,75876,High School,7,Sales,San Francisco
53,117446,Bachelor,17,Sales,Chicago
19,115102,Bachelor,4,Finance,New York
31,76919,PhD,25,Sales,New York
30,52103,Master,29,HR,Austin
46,61188,Bachelor,12,HR,New York
29,30845,PhD,18,Engineering,San Francisco
56,111698,Bachelor,28,Sales,Austin
19,61674,Master,2,Engineering,New York
49,44337,PhD,25,Marketing,Chicago
30,47313,Master,39,HR,San Francisco
63,51943,PhD,11,Marketing,Chicago
44,102949,Master,1,Finance,Chicago
66,25276,Bachelor,10,HR,Austin
58,76151,Bachelor,27,Marketing,Los Angeles
34,42611,Master,17,Finance,Austin
57,36944,Master,12,Marketing,San Francisco
48,77887,Master,36,Finance,San Francisco
51,106442,PhD,21,Finance,Austin
41,74847,Bachelor,11,HR,Los Angeles
62,83653,PhD,1,Engineering,Austin
52,111072,Bachelor,36,Finance,San Francisco
65,81622,High School,6,Finance,Los Angeles
23,52810,PhD,25,HR,San Francisco
36,102842,Bachelor,25,Engineering,Los Angeles
47,35503,Bachelor,23,Sales,Los Angeles
24,109761,PhD,11,Sales,Austin
27,61976,PhD,15,Engineering,Austin
58,36590,Bachelor,22,Marketing,Austin
49,35886,PhD,39,HR,Los Angeles
51,37866,Master,8,Engineering,Los Angeles
45,91624,PhD,31,Sales,San Francisco
32,93899,PhD,14,Finance,Chicago
47,57792,PhD,36,Sales,Austin
54,34764,Bachelor,12,Finance,San Francisco
46,111156,Master,4,HR,San Francisco
39,67727,High School,10,Finance,New York
21,103471,High School,9,Engineering,Austin
37,33068,Master,12,Finance,San Francisco
49,32295,Master,14,Marketing,New York
53,66160,Master,6,Engineering,Austin
67,36390,Bachelor,39,HR,Los Angeles
21,45131,High School,27,Engineering,New York
44,119754,Master,31,Marketing,Los Angeles
34,100969,Bachelor,34,HR,Chicago
29,40038,High School,14,Sales,Chicago
39,77327,PhD,35,Marketing,Chicago
34,118718,Bachelor,20,HR,Chicago
27,102064,High School,5,Finance,San Francisco
18,46281,Bachelor,0,Engineering,Chicago
39,79189,High School,3,HR,San Francisco
43,73511,High School,10,Engineering,San Francisco
35,33605,PhD,25,Finance,Austin
67,26381,Bachelor,36,HR,San Francisco
31,91634,Master,22,Sales,San Francisco
64,44810,PhD,28,Marketing,Chicago
46,49322,PhD,20,HR,San Francisco
29,66869,High School,26,Finance,Los Angeles
53,57955,Master,38,HR,Chicago
52,86388,Bachelor,39,Engineering,New York
69,35207,Master,12,HR,Chicago
29,112329,Master,22,Sales,San Francisco
24,92628,Master,15,HR,Los Angeles
46,53220,Master,29,Marketing,Chicago
28,109050,Master,3,HR,Los Angeles
50,99085,High School,39,Engineering,New York
23,47031,High School,15,HR,New York
64,95721,PhD,30,Sales,Austin
32,105807,High School,24,Finance,Austin
49,96312,PhD,11,HR,Chicago
68,84766,PhD,25,HR,Austin
28,37449,Bachelor,36,Marketing,Los Angeles
40,114833,Master,32,Sales,Austin
43,81699,High School,27,Finance,Los Angeles
51,106253,Bachelor,8,Engineering,Austin
63,71092,High School,11,HR,Austin
51,88671,PhD,4,Finance,Austin
46,35350,High School,27,Engineering,San Francisco
21,93487,Master,34,Sales,San Francisco
34,42622,PhD,4,Sales,Austin
52,95263,PhD,33,Finance,Los Angeles
30,78117,Bachelor,33,Engineering,Chicago
58,83394,Master,12,Sales,New York
56,48782,PhD,38,Finance,San Francisco
32,53454,Master,13,Sales,Austin
46,92904,High School,10,Sales,New York
46,40592,Master,37,Sales,San Francisco
28,47173,PhD,3,Marketing,Chicago
69,58204,Bachelor,32,Engineering,Los Angeles
49,60596,PhD,6,Finance,Austin
19,59324,Master,7,Finance,Chicago
64,86202,Master,36,Engineering,San Francisco
31,114400,PhD,9,Engineering,Austin
37,55750,Master,14,Engineering,New York
39,101112,High School,37,Engineering,Los Angeles
28,41566,PhD,14,HR,San Francisco
44,32190,Bachelor,4,Finance,Los Angeles
20,113607,PhD,28,HR,Austin
34,63333,High School,18,Sales,Chicago
61,105905,High School,9,Sales,Los Angeles
45,114571,High School,11,Finance,New York
46,26589,High School,3,Sales,San Francisco
38,50235,High School,30,Engineering,New York
64,25159,Bachelor,17,HR,Los Angeles
33,37145,Master,15,Engineering,Chicago
54,105909,High School,39,Sales,Chicago
37,56921,High School,35,HR,New York
23,41237,PhD,24,Engineering,Austin
36,33244,Bachelor,22,Finance,Austin
22,39743,Bachelor,11,Engineering,Chicago
20,71101,Master,33,Sales,New York
18,109227,Bachelor,35,HR,New York
55,81378,PhD,36,Finance,New York
32,96126,PhD,2,HR,Los Angeles
51,81071,Master,8,Finance,Austin
52,96121,PhD,17,HR,Austin
66,99763,High School,34,Sales,Los Angeles
42,118814,High School,33,Finance,San Francisco
41,37237,PhD,13,Marketing,Los Angeles
29,40649,Master,3,HR,New York
35,62713,Bachelor,28,HR,Los Angeles
32,98463,Master,14,Engineering,New York
61,70409,Bachelor,27,Finance,Chicago
33,73766,PhD,15,Marketing,New York
44,71154,PhD,11,Sales,Austin
25,32016,High School,4,Engineering,Los Angeles
63,104563,Bachelor,33,Marketing,New York
42,73688,Master,0,Finance,San Francisco
34,114678,PhD,38,Marketing,Chicago
46,79238,Master,31,HR,San Francisco
25,83608,High School,25,HR,San Francisco
32,114081,Bachelor,16,Engineering,San Francisco
44,56897,Bachelor,26,Finance,Chicago
63,75961,PhD,23,Finance,Chicago
67,93703,Bachelor,34,Marketing,Chicago
69,69757,PhD,38,Engineering,Chicago
24,51917,High School,25,Finance,San Francisco
20,47736,Bachelor,37,HR,Austin
